,date,city,precipitation
0,2018-01-01,STL,0.0
1,2018-01-02,STL,0.0
2,2018-01-03,STL,0.0
3,2018-01-04,STL,0.0
4,2018-01-05,STL,0.0
5,2018-01-06,STL,0.0
6,2018-01-07,STL,0.35
7,2018-01-08,STL,0.0
8,2018-01-09,STL,0.0
9,2018-01-10,STL,0.0
10,2018-01-11,STL,0.04
11,2018-01-12,STL,0.0
12,2018-01-13,STL,0.0
13,2018-01-14,STL,0.01
14,2018-01-15,STL,0.06
15,2018-01-16,STL,0.0
16,2018-01-17,STL,0.0
17,2018-01-18,STL,0.0
18,2018-01-19,STL,0.0
19,2018-01-20,STL,0.0
20,2018-01-21,STL,0.0
21,2018-01-22,STL,0.76
22,2018-01-23,STL,0.01
23,2018-01-24,STL,0.0
24,2018-01-25,STL,0.0
25,2018-01-26,STL,0.0
26,2018-01-27,STL,0.0
27,2018-01-28,STL,0.0
28,2018-01-29,STL,0.0
29,2018-01-30,STL,0.0
30,2018-01-31,STL,0.0
31,2018-02-01,STL,0.0
32,2018-02-02,STL,0.0
33,2018-02-03,STL,0.0
34,2018-02-04,STL,0.01
35,2018-02-05,STL,0.0
36,2018-02-06,STL,0.0
37,2018-02-07,STL,0.0
38,2018-02-08,STL,0.0
39,2018-02-09,STL,0.0
40,2018-02-10,STL,0.03
41,2018-02-11,STL,0.0
42,2018-02-12,STL,0.0
43,2018-02-13,STL,0.0
44,2018-02-14,STL,0.13
45,2018-02-15,STL,0.26
46,2018-02-16,STL,0.0
47,2018-02-17,STL,0.1
48,2018-02-18,STL,0.0
49,2018-02-19,STL,0.89
50,2018-02-20,STL,1.04
51,2018-02-21,STL,0.29
52,2018-02-22,STL,0.26
53,2018-02-23,STL,0.31
54,2018-02-24,STL,1.73
55,2018-02-25,STL,0.0
56,2018-02-26,STL,0.0
57,2018-02-27,STL,0.0
58,2018-02-28,STL,0.2
59,2018-03-01,STL,0.27
60,2018-03-02,STL,0.0
61,2018-03-03,STL,0.0
62,2018-03-04,STL,0.0
63,2018-03-05,STL,0.62
64,2018-03-06,STL,0.04
65,2018-03-07,STL,0.0
66,2018-03-08,STL,0.0
67,2018-03-09,STL,0.0
68,2018-03-10,STL,0.0
69,2018-03-11,STL,0.27
70,2018-03-12,STL,0.0
71,2018-03-13,STL,0.0
72,2018-03-14,STL,0.0
73,2018-03-15,STL,0.0
74,2018-03-16,STL,0.34
75,2018-03-17,STL,0.0
76,2018-03-18,STL,0.0
77,2018-03-19,STL,1.43
78,2018-03-20,STL,0.0
79,2018-03-21,STL,0.0
80,2018-03-22,STL,0.0
81,2018-03-23,STL,0.26
82,2018-03-24,STL,0.81
83,2018-03-25,STL,0.0
84,2018-03-26,STL,1.01
85,2018-03-27,STL,1.12
86,2018-03-28,STL,0.02
87,2018-03-29,STL,0.79
88,2018-03-30,STL,0.0
89,2018-03-31,STL,0.14
90,2018-04-01,STL,0.28
91,2018-04-02,STL,0.45
92,2018-04-03,STL,0.19
93,2018-04-04,STL,0.0
94,2018-04-05,STL,0.0
95,2018-04-06,STL,0.0
96,2018-04-07,STL,0.0
97,2018-04-08,STL,0.01
98,2018-04-09,STL,0.0
99,2018-04-10,STL,0.0
100,2018-04-11,STL,0.0
101,2018-04-12,STL,0.0
102,2018-04-13,STL,0.97
103,2018-04-14,STL,0.28
104,2018-04-15,STL,0.01
105,2018-04-16,STL,0.0
106,2018-04-17,STL,0.0
107,2018-04-18,STL,0.0
108,2018-04-19,STL,0.0
109,2018-04-20,STL,0.0
110,2018-04-21,STL,0.0
111,2018-04-22,STL,0.02
112,2018-04-23,STL,0.07
113,2018-04-24,STL,0.0
114,2018-04-25,STL,0.0
115,2018-04-26,STL,0.0
116,2018-04-27,STL,0.0
117,2018-04-28,STL,0.0
118,2018-04-29,STL,0.0
119,2018-04-30,STL,0.0
120,2018-05-01,STL,0.0
121,2018-05-02,STL,0.0
122,2018-05-03,STL,1.02
123,2018-05-04,STL,0.0
124,2018-05-05,STL,0.0
125,2018-05-06,STL,0.01
126,2018-05-07,STL,0.0
127,2018-05-08,STL,0.0
128,2018-05-09,STL,0.17
129,2018-05-10,STL,0.0
130,2018-05-11,STL,0.0
131,2018-05-12,STL,0.0
132,2018-05-13,STL,0.0
133,2018-05-14,STL,0.15
134,2018-05-15,STL,0.03
135,2018-05-16,STL,0.0
136,2018-05-17,STL,0.0
137,2018-05-18,STL,1.61
138,2018-05-19,STL,0.07
139,2018-05-20,STL,0.37
140,2018-05-21,STL,0.12
141,2018-05-22,STL,0.0
142,2018-05-23,STL,0.0
143,2018-05-24,STL,0.0
144,2018-05-25,STL,0.13
145,2018-05-26,STL,0.0
146,2018-05-27,STL,1.33
147,2018-05-28,STL,0.0
148,2018-05-29,STL,0.0
149,2018-05-30,STL,0.04
150,2018-05-31,STL,0.0
151,2018-06-01,STL,0.0
152,2018-06-02,STL,0.31
153,2018-06-03,STL,0.0
154,2018-06-04,STL,0.0
155,2018-06-05,STL,0.0
156,2018-06-06,STL,0.0
157,2018-06-07,STL,0.0
158,2018-06-08,STL,0.0
159,2018-06-09,STL,0.43
160,2018-06-10,STL,0.0
161,2018-06-11,STL,0.0
162,2018-06-12,STL,0.0
163,2018-06-13,STL,0.0
164,2018-06-14,STL,0.0
165,2018-06-15,STL,0.0
166,2018-06-16,STL,0.0
167,2018-06-17,STL,0.0
168,2018-06-18,STL,0.0
169,2018-06-19,STL,0.03
170,2018-06-20,STL,0.92
171,2018-06-21,STL,0.01
172,2018-06-22,STL,0.37
173,2018-06-23,STL,0.0
174,2018-06-24,STL,0.0
175,2018-06-25,STL,0.0
176,2018-06-26,STL,0.82
177,2018-06-27,STL,0.0
178,2018-06-28,STL,0.2
179,2018-06-29,STL,0.0
180,2018-06-30,STL,0.0
181,2018-07-01,STL,0.59
182,2018-07-02,STL,0.0
183,2018-07-03,STL,0.05
184,2018-07-04,STL,0.0
185,2018-07-05,STL,0.0
186,2018-07-06,STL,0.0
187,2018-07-07,STL,0.0
188,2018-07-08,STL,0.0
189,2018-07-09,STL,0.25
190,2018-07-10,STL,0.0
191,2018-07-11,STL,0.0
192,2018-07-12,STL,0.0
193,2018-07-13,STL,0.0
194,2018-07-14,STL,0.28
195,2018-07-15,STL,0.0
196,2018-07-16,STL,0.0
197,2018-07-17,STL,0.0
198,2018-07-18,STL,0.0
199,2018-07-19,STL,0.02
200,2018-07-20,STL,0.0
201,2018-07-21,STL,0.0
202,2018-07-22,STL,0.0
203,2018-07-23,STL,0.0
204,2018-07-24,STL,0.0
205,2018-07-25,STL,0.0
206,2018-07-26,STL,0.0
207,2018-07-27,STL,0.0
208,2018-07-28,STL,0.0
209,2018-07-29,STL,0.2
210,2018-07-30,STL,0.01
211,2018-07-31,STL,0.6
212,2018-08-01,STL,0.0
213,2018-08-02,STL,0.19
214,2018-08-03,STL,0.0
215,2018-08-04,STL,0.0
216,2018-08-05,STL,0.0
217,2018-08-06,STL,0.0
218,2018-08-07,STL,0.46
219,2018-08-08,STL,0.0
220,2018-08-09,STL,0.0
221,2018-08-10,STL,0.98
222,2018-08-11,STL,0.0
223,2018-08-12,STL,0.0
224,2018-08-13,STL,0.0
225,2018-08-14,STL,0.05
226,2018-08-15,STL,0.45
227,2018-08-16,STL,0.0
228,2018-08-17,STL,0.0
229,2018-08-18,STL,0.0
230,2018-08-19,STL,0.01
231,2018-08-20,STL,0.75
232,2018-08-21,STL,0.02
233,2018-08-22,STL,0.0
234,2018-08-23,STL,0.0
235,2018-08-24,STL,1.12
236,2018-08-25,STL,0.0
237,2018-08-26,STL,0.0
238,2018-08-27,STL,0.0
239,2018-08-28,STL,0.0
240,2018-08-29,STL,0.61
241,2018-08-30,STL,0.0
242,2018-08-31,STL,0.02
243,2018-09-01,STL,0.0
244,2018-09-02,STL,0.0
245,2018-09-03,STL,0.0
246,2018-09-04,STL,0.0
247,2018-09-05,STL,0.0
248,2018-09-06,STL,0.0
249,2018-09-07,STL,0.66
250,2018-09-08,STL,0.92
251,2018-09-09,STL,0.02
252,2018-09-10,STL,0.0
253,2018-09-11,STL,0.0
254,2018-09-12,STL,0.0
255,2018-09-13,STL,0.0
256,2018-09-14,STL,0.0
257,2018-09-15,STL,0.0
258,2018-09-16,STL,0.0
259,2018-09-17,STL,0.0
260,2018-09-18,STL,0.0
261,2018-09-19,STL,0.0
262,2018-09-20,STL,0.0
263,2018-09-21,STL,0.05
264,2018-09-22,STL,0.0
265,2018-09-23,STL,0.0
266,2018-09-24,STL,0.0
267,2018-09-25,STL,0.0
268,2018-09-26,STL,0.35
269,2018-09-27,STL,0.0
270,2018-09-28,STL,0.0
271,2018-09-29,STL,0.0
272,2018-09-30,STL,0.0
273,2018-10-01,STL,0.0
274,2018-10-02,STL,0.0
275,2018-10-03,STL,0.0
276,2018-10-04,STL,0.07
277,2018-10-05,STL,0.0
278,2018-10-06,STL,0.68
279,2018-10-07,STL,0.5
280,2018-10-08,STL,0.0
281,2018-10-09,STL,0.0
282,2018-10-10,STL,0.1
283,2018-10-11,STL,0.0
284,2018-10-12,STL,0.22
285,2018-10-13,STL,0.0
286,2018-10-14,STL,0.1
287,2018-10-15,STL,0.02
288,2018-10-16,STL,0.0
289,2018-10-17,STL,0.0
290,2018-10-18,STL,0.0
291,2018-10-19,STL,0.0
292,2018-10-20,STL,0.0
293,2018-10-21,STL,0.0
294,2018-10-22,STL,0.0
295,2018-10-23,STL,0.0
296,2018-10-24,STL,0.0
297,2018-10-25,STL,0.22
298,2018-10-26,STL,0.24
299,2018-10-27,STL,0.0
300,2018-10-28,STL,0.0
301,2018-10-29,STL,0.0
302,2018-10-30,STL,0.0
303,2018-10-31,STL,1.05
304,2018-11-01,STL,0.72
305,2018-11-02,STL,0.11
306,2018-11-03,STL,0.0
307,2018-11-04,STL,0.35
308,2018-11-05,STL,0.39
309,2018-11-06,STL,0.0
310,2018-11-07,STL,0.0
311,2018-11-08,STL,0.05
312,2018-11-09,STL,0.04
313,2018-11-10,STL,0.0
314,2018-11-11,STL,0.0
315,2018-11-12,STL,0.09
316,2018-11-13,STL,0.0
317,2018-11-14,STL,0.09
318,2018-11-15,STL,0.21
319,2018-11-16,STL,0.0
320,2018-11-17,STL,0.0
321,2018-11-18,STL,0.08
322,2018-11-19,STL,0.0
323,2018-11-20,STL,0.0
324,2018-11-21,STL,0.0
325,2018-11-22,STL,0.0
326,2018-11-23,STL,0.38
327,2018-11-24,STL,0.0
328,2018-11-25,STL,0.23
329,2018-11-26,STL,0.0
330,2018-11-27,STL,0.0
331,2018-11-28,STL,0.0
332,2018-11-29,STL,0.0
333,2018-11-30,STL,0.0
334,2018-12-01,STL,0.78
335,2018-12-02,STL,0.0
336,2018-12-03,STL,0.0
337,2018-12-04,STL,0.13
338,2018-12-05,STL,0.0
339,2018-12-06,STL,0.11
340,2018-12-07,STL,0.0
341,2018-12-08,STL,0.0
342,2018-12-09,STL,0.0
343,2018-12-10,STL,0.0
344,2018-12-11,STL,0.0
345,2018-12-12,STL,0.0
346,2018-12-13,STL,0.5
347,2018-12-14,STL,0.42
348,2018-12-15,STL,0.17
349,2018-12-16,STL,0.0
350,2018-12-17,STL,0.0
351,2018-12-18,STL,0.0
352,2018-12-19,STL,0.0
353,2018-12-20,STL,0.09
354,2018-12-21,STL,0.0
355,2018-12-22,STL,0.0
356,2018-12-23,STL,0.0
357,2018-12-24,STL,0.0
358,2018-12-25,STL,0.0
359,2018-12-26,STL,0.02
360,2018-12-27,STL,0.61
361,2018-12-28,STL,0.0
362,2018-12-29,STL,0.0
363,2018-12-30,STL,0.15
364,2018-12-31,STL,1.0
365,2019-01-01,STL,0.0
366,2019-01-02,STL,0.0
367,2019-01-03,STL,0.0
368,2019-01-04,STL,0.0
369,2019-01-05,STL,0.0
370,2019-01-06,STL,0.0
371,2019-01-07,STL,0.1
372,2019-01-08,STL,0.0
373,2019-01-09,STL,0.0
374,2019-01-10,STL,0.0
375,2019-01-11,STL,0.65
376,2019-01-12,STL,0.45
377,2019-01-13,STL,0.03
378,2019-01-14,STL,0.0
379,2019-01-15,STL,0.0
380,2019-01-16,STL,0.0
381,2019-01-17,STL,0.03
382,2019-01-18,STL,0.19
383,2019-01-19,STL,0.24
384,2019-01-20,STL,0.05
385,2019-01-21,STL,0.0
386,2019-01-22,STL,0.76
387,2019-01-23,STL,0.33
388,2019-01-24,STL,0.0
389,2019-01-25,STL,0.0
390,2019-01-26,STL,0.0
391,2019-01-27,STL,0.0
392,2019-01-28,STL,0.07
393,2019-01-29,STL,0.0
394,2019-01-30,STL,0.03
395,2019-01-31,STL,0.0
396,2019-02-01,STL,0.0
397,2019-02-02,STL,0.0
398,2019-02-03,STL,0.0
399,2019-02-04,STL,0.0
400,2019-02-05,STL,0.05
401,2019-02-06,STL,1.18
402,2019-02-07,STL,0.95
403,2019-02-08,STL,0.0
404,2019-02-09,STL,0.0
405,2019-02-10,STL,0.16
406,2019-02-11,STL,0.32
407,2019-02-12,STL,0.01
408,2019-02-13,STL,0.0
409,2019-02-14,STL,0.0
410,2019-02-15,STL,0.13
411,2019-02-16,STL,0.0
412,2019-02-17,STL,0.01
413,2019-02-18,STL,0.0
414,2019-02-19,STL,0.35
415,2019-02-20,STL,0.16
416,2019-02-21,STL,0.0
417,2019-02-22,STL,0.0
418,2019-02-23,STL,0.2
419,2019-02-24,STL,0.0
420,2019-02-25,STL,0.0
421,2019-02-26,STL,0.0
422,2019-02-27,STL,0.0
423,2019-02-28,STL,0.04
424,2019-03-01,STL,0.0
425,2019-03-02,STL,0.0
426,2019-03-03,STL,0.22
427,2019-03-04,STL,0.0
428,2019-03-05,STL,0.0
429,2019-03-06,STL,0.0
430,2019-03-07,STL,0.0
431,2019-03-08,STL,0.0
432,2019-03-09,STL,1.28
433,2019-03-10,STL,0.0
434,2019-03-11,STL,0.0
435,2019-03-12,STL,0.14
436,2019-03-13,STL,0.93
437,2019-03-14,STL,0.0
438,2019-03-15,STL,0.0
439,2019-03-16,STL,0.0
440,2019-03-17,STL,0.0
441,2019-03-18,STL,0.0
442,2019-03-19,STL,0.0
443,2019-03-20,STL,0.02
444,2019-03-21,STL,0.0
445,2019-03-22,STL,0.0
446,2019-03-23,STL,0.06
447,2019-03-24,STL,0.55
448,2019-03-25,STL,0.01
449,2019-03-26,STL,0.0
450,2019-03-27,STL,0.0
451,2019-03-28,STL,0.66
452,2019-03-29,STL,0.11
453,2019-03-30,STL,1.65
454,2019-03-31,STL,0.0
455,2019-04-01,STL,0.0
456,2019-04-02,STL,0.0
457,2019-04-03,STL,0.0
458,2019-04-04,STL,0.45
459,2019-04-05,STL,0.0
460,2019-04-06,STL,0.0
461,2019-04-07,STL,0.1
462,2019-04-08,STL,0.0
463,2019-04-09,STL,0.0
464,2019-04-10,STL,0.0
465,2019-04-11,STL,0.11
466,2019-04-12,STL,0.0
467,2019-04-13,STL,0.25
468,2019-04-14,STL,0.66
469,2019-04-15,STL,0.0
470,2019-04-16,STL,0.0
471,2019-04-17,STL,0.35
472,2019-04-18,STL,1.58
473,2019-04-19,STL,0.0
474,2019-04-20,STL,0.0
475,2019-04-21,STL,0.0
476,2019-04-22,STL,0.0
477,2019-04-23,STL,0.01
478,2019-04-24,STL,0.63
479,2019-04-25,STL,0.14
480,2019-04-26,STL,0.0
481,2019-04-27,STL,0.09
482,2019-04-28,STL,0.0
483,2019-04-29,STL,0.03
484,2019-04-30,STL,2.36
485,2019-05-01,STL,0.25
486,2019-05-02,STL,1.32
487,2019-05-03,STL,0.03
488,2019-05-04,STL,0.19
489,2019-05-05,STL,0.0
490,2019-05-06,STL,0.0
491,2019-05-07,STL,0.1
492,2019-05-08,STL,1.07
493,2019-05-09,STL,0.06
494,2019-05-10,STL,0.0
495,2019-05-11,STL,0.42
496,2019-05-12,STL,0.02
497,2019-05-13,STL,0.0
498,2019-05-14,STL,0.0
499,2019-05-15,STL,0.12
500,2019-05-16,STL,0.0
501,2019-05-17,STL,0.0
502,2019-05-18,STL,0.0
503,2019-05-19,STL,0.13
504,2019-05-20,STL,0.0
505,2019-05-21,STL,1.79
506,2019-05-22,STL,0.0
507,2019-05-23,STL,0.18
508,2019-05-24,STL,0.0
509,2019-05-25,STL,0.0
510,2019-05-26,STL,0.96
511,2019-05-27,STL,0.01
512,2019-05-28,STL,0.0
513,2019-05-29,STL,0.84
514,2019-05-30,STL,0.0
515,2019-05-31,STL,0.0
516,2019-06-01,STL,1.12
517,2019-06-02,STL,0.0
518,2019-06-03,STL,0.0
519,2019-06-04,STL,0.08
520,2019-06-05,STL,0.46
521,2019-06-06,STL,0.08
522,2019-06-07,STL,0.0
523,2019-06-08,STL,0.0
524,2019-06-09,STL,0.0
525,2019-06-10,STL,0.0
526,2019-06-11,STL,0.0
527,2019-06-12,STL,0.22
528,2019-06-13,STL,0.0
529,2019-06-14,STL,0.01
530,2019-06-15,STL,0.5
531,2019-06-16,STL,0.03
532,2019-06-17,STL,0.11
533,2019-06-18,STL,0.0
534,2019-06-19,STL,0.01
535,2019-06-20,STL,0.0
536,2019-06-21,STL,1.09
537,2019-06-22,STL,0.59
538,2019-06-23,STL,0.07
539,2019-06-24,STL,0.0
540,2019-06-25,STL,0.0
541,2019-06-26,STL,0.22
542,2019-06-27,STL,0.0
543,2019-06-28,STL,0.07
544,2019-06-29,STL,0.0
545,2019-06-30,STL,0.0
546,2019-07-01,STL,0.0
547,2019-07-02,STL,0.57
548,2019-07-03,STL,0.03
549,2019-07-04,STL,0.17
550,2019-07-05,STL,0.01
551,2019-07-06,STL,0.0
552,2019-07-07,STL,0.0
553,2019-07-08,STL,0.0
554,2019-07-09,STL,0.0
555,2019-07-10,STL,0.0
556,2019-07-11,STL,0.0
557,2019-07-12,STL,0.0
558,2019-07-13,STL,0.0
559,2019-07-14,STL,0.0
560,2019-07-15,STL,0.52
561,2019-07-16,STL,0.07
562,2019-07-17,STL,0.31
563,2019-07-18,STL,0.0
564,2019-07-19,STL,0.0
565,2019-07-20,STL,0.0
566,2019-07-21,STL,0.0
567,2019-07-22,STL,3.3
568,2019-07-23,STL,0.0
569,2019-07-24,STL,0.0
570,2019-07-25,STL,0.0
571,2019-07-26,STL,0.0
572,2019-07-27,STL,0.0
573,2019-07-28,STL,0.0
574,2019-07-29,STL,0.72
575,2019-07-30,STL,0.0
576,2019-07-31,STL,0.0
577,2019-08-01,STL,0.0
578,2019-08-02,STL,0.0
579,2019-08-03,STL,0.0
580,2019-08-04,STL,0.0
581,2019-08-05,STL,0.0
582,2019-08-06,STL,0.3
583,2019-08-07,STL,0.0
584,2019-08-08,STL,0.0
585,2019-08-09,STL,0.0
586,2019-08-10,STL,0.0
587,2019-08-11,STL,0.0
588,2019-08-12,STL,2.68
589,2019-08-13,STL,0.35
590,2019-08-14,STL,0.0
591,2019-08-15,STL,0.0
592,2019-08-16,STL,0.0
593,2019-08-17,STL,0.12
594,2019-08-18,STL,0.0
595,2019-08-19,STL,0.0
596,2019-08-20,STL,0.07
597,2019-08-21,STL,0.04
598,2019-08-22,STL,0.11
599,2019-08-23,STL,0.0
600,2019-08-24,STL,0.0
601,2019-08-25,STL,0.3
602,2019-08-26,STL,0.83
603,2019-08-27,STL,0.45
604,2019-08-28,STL,0.0
605,2019-08-29,STL,0.0
606,2019-08-30,STL,0.96
607,2019-08-31,STL,0.12
608,2019-09-01,STL,0.0
609,2019-09-02,STL,0.0
610,2019-09-03,STL,0.0
611,2019-09-04,STL,0.0
612,2019-09-05,STL,0.0
613,2019-09-06,STL,0.0
614,2019-09-07,STL,0.0
615,2019-09-08,STL,0.8
616,2019-09-09,STL,0.0
617,2019-09-10,STL,0.0
618,2019-09-11,STL,0.0
619,2019-09-12,STL,0.0
620,2019-09-13,STL,0.0
621,2019-09-14,STL,0.0
622,2019-09-15,STL,0.0
623,2019-09-16,STL,0.0
624,2019-09-17,STL,0.0
625,2019-09-18,STL,0.0
626,2019-09-19,STL,0.0
627,2019-09-20,STL,0.3
628,2019-09-21,STL,0.02
629,2019-09-22,STL,0.5
630,2019-09-23,STL,0.0
631,2019-09-24,STL,0.0
632,2019-09-25,STL,0.0
633,2019-09-26,STL,0.04
634,2019-09-27,STL,0.0
635,2019-09-28,STL,0.02
636,2019-09-29,STL,0.0
637,2019-09-30,STL,0.0
638,2019-10-01,STL,0.0
639,2019-10-02,STL,0.0
640,2019-10-03,STL,0.0
641,2019-10-04,STL,0.0
642,2019-10-05,STL,0.0
643,2019-10-06,STL,0.0
644,2019-10-07,STL,0.0
645,2019-10-08,STL,0.0
646,2019-10-09,STL,0.0
647,2019-10-10,STL,0.94
648,2019-10-11,STL,0.14
649,2019-10-12,STL,0.0
650,2019-10-13,STL,0.0
651,2019-10-14,STL,0.0
652,2019-10-15,STL,0.0
653,2019-10-16,STL,0.0
654,2019-10-17,STL,0.0
655,2019-10-18,STL,0.0
656,2019-10-19,STL,0.0
657,2019-10-20,STL,0.0
658,2019-10-21,STL,0.15
659,2019-10-22,STL,0.0
660,2019-10-23,STL,0.0
661,2019-10-24,STL,0.01
662,2019-10-25,STL,0.0
663,2019-10-26,STL,1.25
664,2019-10-27,STL,0.0
665,2019-10-28,STL,0.0
666,2019-10-29,STL,0.84
667,2019-10-30,STL,0.47
668,2019-10-31,STL,0.03
669,2019-11-01,STL,0.0
670,2019-11-02,STL,0.0
671,2019-11-03,STL,0.0
672,2019-11-04,STL,0.04
673,2019-11-05,STL,0.02
674,2019-11-06,STL,0.01
675,2019-11-07,STL,0.0
676,2019-11-08,STL,0.0
677,2019-11-09,STL,0.0
678,2019-11-10,STL,0.0
679,2019-11-11,STL,0.3
680,2019-11-12,STL,0.0
681,2019-11-13,STL,0.0
682,2019-11-14,STL,0.0
683,2019-11-15,STL,0.0
684,2019-11-16,STL,0.0
685,2019-11-17,STL,0.01
686,2019-11-18,STL,0.01
687,2019-11-19,STL,0.0
688,2019-11-20,STL,0.0
689,2019-11-21,STL,0.18
690,2019-11-22,STL,0.01
691,2019-11-23,STL,0.09
692,2019-11-24,STL,0.0
693,2019-11-25,STL,0.0
694,2019-11-26,STL,0.23
695,2019-11-27,STL,0.01
696,2019-11-28,STL,0.05
697,2019-11-29,STL,1.1
698,2019-11-30,STL,1.5
699,2019-12-01,STL,0.01
700,2019-12-02,STL,0.0
701,2019-12-03,STL,0.0
702,2019-12-04,STL,0.0
703,2019-12-05,STL,0.0
704,2019-12-06,STL,0.0
705,2019-12-07,STL,0.0
706,2019-12-08,STL,0.02
707,2019-12-09,STL,0.0
708,2019-12-10,STL,0.0
709,2019-12-11,STL,0.0
710,2019-12-12,STL,0.0
711,2019-12-13,STL,0.0
712,2019-12-14,STL,0.11
713,2019-12-15,STL,0.23
714,2019-12-16,STL,0.3
715,2019-12-17,STL,0.0
716,2019-12-18,STL,0.0
717,2019-12-19,STL,0.0
718,2019-12-20,STL,0.0
719,2019-12-21,STL,0.0
720,2019-12-22,STL,0.0
721,2019-12-23,STL,0.0
722,2019-12-24,STL,0.0
723,2019-12-25,STL,0.0
724,2019-12-26,STL,0.0
725,2019-12-27,STL,0.0
726,2019-12-28,STL,0.44
727,2019-12-29,STL,0.75
728,2019-12-30,STL,0.0
729,2019-12-31,STL,0.0
730,2020-01-01,STL,0.0
731,2020-01-02,STL,0.0
732,2020-01-03,STL,0.0
733,2020-01-04,STL,0.0
734,2020-01-05,STL,0.0
735,2020-01-06,STL,0.0
736,2020-01-07,STL,0.0
737,2020-01-08,STL,0.0
738,2020-01-09,STL,0.76
739,2020-01-10,STL,2.16
740,2020-01-11,STL,1.41
741,2020-01-12,STL,0.0
742,2020-01-13,STL,0.0
743,2020-01-14,STL,0.0
744,2020-01-15,STL,0.01
745,2020-01-16,STL,0.0
746,2020-01-17,STL,0.79
747,2020-01-18,STL,0.74
748,2020-01-19,STL,0.0
749,2020-01-20,STL,0.0
750,2020-01-21,STL,0.0
751,2020-01-22,STL,0.07
